what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178169633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178180123
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1336178191460
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1336178194467
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1336178195894
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1336178199102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178206903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178226584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178250235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178256814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178266115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178315407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178320954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178384683
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1336178399517
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1336178415768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336178419713
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1336178425801
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1336178481955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1336178500215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1336178519141
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1336178525595
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1336178530413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178556373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178614385
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1336178623999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178630906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178978188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178978481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178979330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178979650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178983477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178984813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178987399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336178990312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336179004628
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336179007299
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336179011641
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336179011839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336179013179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336179055076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336179061857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336179075453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336179077872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336179168860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1336179168873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336179173745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336179273575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336179274670
started,bundle,org.eclipse.epp.mpc.core,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.core",1336179285950
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1336179285984
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1336179286031
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1336179286059
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1336179286115
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1336179286211
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1336179286221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336179286811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336179286971
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1336179288804
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1336179288850
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1336179290838
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1336179293187
